session_id,traveller_id,origin_city,destination_city,search_date,travel_date,lead_days,departure_window,trip_purpose,party_size
S0011925,T001491,Mumbai,Kolkata,2024-03-04,2024-04-16,43,Morning,Business,1
S0011926,T001491,Delhi,Kolkata,2024-03-12,2024-04-27,46,Evening,Commute,1
S0011927,T001491,Chennai,Bangalore,2024-03-23,2024-05-11,49,Morning,Commute,1
S0011928,T001491,Hyderabad,Mumbai,2024-03-23,2024-05-07,45,Morning,Leisure,1
S0011929,T001492,Bangalore,Kolkata,2024-03-10,2024-04-24,45,Night,Commute,2
S0011930,T001492,Chennai,Bangalore,2024-03-10,2024-04-17,38,Morning,Leisure,1
S0011931,T001492,Mumbai,Bangalore,2024-03-25,2024-03-26,1,Afternoon,Business,1
S0011932,T001492,Mumbai,Hyderabad,2024-03-20,2024-03-31,11,Early Morning,Business,1
S0011933,T001492,Delhi,Bangalore,2024-03-06,2024-04-17,42,Morning,Business,2
S0011934,T001492,Kolkata,Mumbai,2024-03-13,2024-05-01,49,Afternoon,Business,1
S0011935,T001492,Delhi,Bangalore,2024-03-04,2024-03-25,21,Evening,Business,1
S0011936,T001492,Delhi,Mumbai,2024-03-22,2024-04-23,32,Afternoon,Commute,1
S0011937,T001493,Chennai,Bangalore,2024-03-19,2024-04-29,41,Afternoon,Business,1
S0011938,T001493,Bangalore,Chennai,2024-03-19,2024-04-29,41,Night,Family / Personal,1
S0011939,T001493,Chennai,Hyderabad,2024-03-27,2024-04-14,18,Afternoon,Business,1
S0011940,T001493,Delhi,Bangalore,2024-03-13,2024-03-29,16,Night,Business,1
S0011941,T001493,Bangalore,Delhi,2024-03-07,2024-04-19,43,Morning,Commute,1
S0011942,T001493,Hyderabad,Delhi,2024-03-29,2024-05-14,46,Early Morning,Business,1
S0011943,T001493,Mumbai,Hyderabad,2024-03-23,2024-03-28,5,Afternoon,Business,1
S0011944,T001493,Chennai,Bangalore,2024-03-20,2024-03-28,8,Morning,Leisure,1
S0011945,T001494,Kolkata,Bangalore,2024-03-03,2024-04-20,48,Early Morning,Family / Personal,1
S0011946,T001494,Chennai,Mumbai,2024-03-19,2024-04-10,22,Evening,Leisure,2
S0011947,T001494,Kolkata,Hyderabad,2024-03-16,2024-04-27,42,Afternoon,Business,1
S0011948,T001494,Bangalore,Chennai,2024-03-26,2024-03-31,5,Early Morning,Business,1
S0011949,T001494,Kolkata,Mumbai,2024-03-02,2024-03-09,7,Morning,Business,1
S0011950,T001494,Hyderabad,Chennai,2024-03-08,2024-03-21,13,Afternoon,Business,1
S0011951,T001494,Delhi,Mumbai,2024-03-09,2024-04-25,47,Evening,Business,1
S0011952,T001494,Mumbai,Kolkata,2024-03-24,2024-03-31,7,Night,Leisure,2
S0011953,T001495,Mumbai,Kolkata,2024-03-22,2024-04-30,39,Afternoon,Leisure,1
S0011954,T001495,Chennai,Mumbai,2024-03-26,2024-04-27,32,Night,Business,1
S0011955,T001495,Hyderabad,Mumbai,2024-03-10,2024-04-05,26,Afternoon,Business,1
S0011956,T001495,Mumbai,Bangalore,2024-03-06,2024-03-22,16,Evening,Business,1
S0011957,T001495,Chennai,Hyderabad,2024-03-09,2024-04-11,33,Night,Business,1
S0011958,T001495,Delhi,Bangalore,2024-03-03,2024-03-19,16,Early Morning,Business,1
S0011959,T001495,Mumbai,Delhi,2024-03-20,2024-03-28,8,Morning,Business,1
S0011960,T001495,Mumbai,Chennai,2024-03-28,2024-04-02,5,Morning,Business,1
S0011961,T001496,Kolkata,Bangalore,2024-03-05,2024-03-26,21,Afternoon,Family / Personal,1
S0011962,T001496,Hyderabad,Chennai,2024-03-11,2024-04-10,30,Early Morning,Business,1
S0011963,T001496,Chennai,Hyderabad,2024-03-05,2024-04-01,27,Morning,Commute,1
S0011964,T001496,Hyderabad,Bangalore,2024-03-05,2024-03-15,10,Evening,Business,1
S0011965,T001496,Delhi,Bangalore,2024-03-16,2024-04-02,17,Afternoon,Business,1
S0011966,T001496,Hyderabad,Bangalore,2024-03-16,2024-03-29,13,Early Morning,Business,2
S0011967,T001496,Hyderabad,Kolkata,2024-03-25,2024-05-02,38,Afternoon,Business,1
S0011968,T001496,Delhi,Hyderabad,2024-03-30,2024-04-03,4,Afternoon,Business,1
S0011969,T001497,Chennai,Hyderabad,2024-03-14,2024-04-08,25,Afternoon,Business,1
S0011970,T001497,Mumbai,Chennai,2024-03-04,2024-03-21,17,Morning,Business,1
S0011971,T001497,Chennai,Kolkata,2024-03-14,2024-03-21,7,Afternoon,Commute,1
S0011972,T001497,Kolkata,Chennai,2024-03-09,2024-04-14,36,Morning,Business,1
S0011973,T001497,Bangalore,Hyderabad,2024-03-17,2024-04-18,32,Early Morning,Business,1
S0011974,T001497,Delhi,Kolkata,2024-03-06,2024-04-23,48,Night,Business,1
S0011975,T001497,Hyderabad,Chennai,2024-03-21,2024-04-09,19,Morning,Business,2
S0011976,T001497,Mumbai,Delhi,2024-03-30,2024-04-13,14,Night,Business,2
S0011977,T001498,Delhi,Mumbai,2024-03-21,2024-04-16,26,Night,Business,1
S0011978,T001498,Bangalore,Kolkata,2024-03-25,2024-03-31,6,Morning,Business,2
S0011979,T001498,Mumbai,Chennai,2024-03-11,2024-03-13,2,Early Morning,Business,2
S0011980,T001498,Chennai,Kolkata,2024-03-15,2024-03-25,10,Night,Business,1
S0011981,T001498,Bangalore,Kolkata,2024-03-26,2024-04-25,30,Night,Commute,1
S0011982,T001498,Bangalore,Mumbai,2024-03-16,2024-03-29,13,Morning,Business,1
S0011983,T001498,Delhi,Bangalore,2024-03-06,2024-04-13,38,Early Morning,Business,1
S0011984,T001498,Mumbai,Bangalore,2024-03-05,2024-04-03,29,Night,Business,1
S0011985,T001499,Kolkata,Delhi,2024-03-03,2024-04-08,36,Morning,Business,1
S0011986,T001499,Hyderabad,Kolkata,2024-03-02,2024-03-28,26,Morning,Business,1
S0011987,T001499,Delhi,Chennai,2024-03-25,2024-04-04,10,Morning,Business,1
S0011988,T001499,Mumbai,Hyderabad,2024-03-25,2024-04-13,19,Morning,Family / Personal,1
S0011989,T001499,Hyderabad,Mumbai,2024-03-21,2024-03-31,10,Evening,Business,1
S0011990,T001499,Chennai,Delhi,2024-03-10,2024-04-14,35,Early Morning,Business,1
S0011991,T001499,Mumbai,Chennai,2024-03-06,2024-04-01,26,Night,Business,1
S0011992,T001499,Mumbai,Kolkata,2024-03-20,2024-04-07,18,Early Morning,Business,1
S0011993,T001500,Hyderabad,Chennai,2024-03-03,2024-03-14,11,Evening,Leisure,2
S0011994,T001500,Delhi,Kolkata,2024-03-24,2024-04-10,17,Early Morning,Family / Personal,3
S0011995,T001500,Kolkata,Chennai,2024-03-28,2024-05-11,44,Evening,Business,1
S0011996,T001500,Bangalore,Mumbai,2024-03-04,2024-03-27,23,Afternoon,Business,1
S0011997,T001500,Bangalore,Hyderabad,2024-03-30,2024-05-03,34,Afternoon,Business,1
S0011998,T001500,Hyderabad,Delhi,2024-03-12,2024-04-17,36,Night,Family / Personal,1
S0011999,T001500,Chennai,Kolkata,2024-03-24,2024-03-28,4,Morning,Business,1
S0012000,T001500,Kolkata,Delhi,2024-03-21,2024-05-04,44,Morning,Business,1
S0012001,T001501,Delhi,Mumbai,2024-03-18,2024-03-28,10,Afternoon,Business,1
S0012002,T001501,Delhi,Mumbai,2024-03-29,2024-05-05,37,Evening,Business,1
S0012003,T001501,Kolkata,Delhi,2024-03-15,2024-04-20,36,Early Morning,Business,1
S0012004,T001501,Delhi,Chennai,2024-03-17,2024-04-16,30,Evening,Business,1
S0012005,T001501,Hyderabad,Kolkata,2024-03-23,2024-04-07,15,Night,Business,2
S0012006,T001501,Delhi,Kolkata,2024-03-26,2024-05-03,38,Early Morning,Business,1
S0012007,T001501,Kolkata,Bangalore,2024-03-05,2024-03-30,25,Afternoon,Leisure,1
S0012008,T001501,Mumbai,Delhi,2024-03-08,2024-04-22,45,Early Morning,Commute,1
S0012009,T001502,Bangalore,Hyderabad,2024-03-20,2024-04-27,38,Evening,Business,1
S0012010,T001502,Delhi,Hyderabad,2024-03-30,2024-04-16,17,Afternoon,Business,1
S0012011,T001502,Hyderabad,Bangalore,2024-03-05,2024-04-03,29,Night,Business,1
S0012012,T001502,Hyderabad,Mumbai,2024-03-03,2024-04-18,46,Night,Business,1
S0012013,T001502,Bangalore,Kolkata,2024-03-09,2024-04-03,25,Morning,Business,1
S0012014,T001502,Chennai,Delhi,2024-03-16,2024-04-11,26,Evening,Business,1
S0012015,T001502,Bangalore,Chennai,2024-03-28,2024-05-04,37,Morning,Business,1
S0012016,T001502,Kolkata,Mumbai,2024-03-27,2024-04-14,18,Early Morning,Business,1
S0012017,T001503,Mumbai,Kolkata,2024-03-08,2024-03-27,19,Evening,Business,1
S0012018,T001503,Delhi,Chennai,2024-03-03,2024-04-02,30,Afternoon,Leisure,1
S0012019,T001503,Hyderabad,Delhi,2024-03-28,2024-04-24,27,Evening,Business,1
S0012020,T001503,Kolkata,Hyderabad,2024-03-20,2024-04-06,17,Early Morning,Business,1
S0012021,T001503,Kolkata,Delhi,2024-03-18,2024-05-06,49,Night,Commute,1
S0012022,T001503,Kolkata,Delhi,2024-03-28,2024-04-24,27,Evening,Business,1
S0012023,T001503,Delhi,Bangalore,2024-03-16,2024-04-27,42,Afternoon,Business,1
S0012024,T001503,Chennai,Kolkata,2024-03-07,2024-03-19,12,Early Morning,Business,1
S0012025,T001504,Hyderabad,Delhi,2024-03-07,2024-03-25,18,Evening,Commute,1
S0012026,T001504,Delhi,Chennai,2024-03-26,2024-04-17,22,Early Morning,Leisure,1
S0012027,T001504,Delhi,Hyderabad,2024-03-04,2024-03-13,9,Evening,Business,1
S0012028,T001504,Mumbai,Chennai,2024-03-03,2024-04-06,34,Morning,Business,1
S0012029,T001504,Mumbai,Chennai,2024-03-30,2024-05-08,39,Evening,Business,1
S0012030,T001504,Mumbai,Hyderabad,2024-03-06,2024-04-08,33,Night,Business,1
S0012031,T001504,Delhi,Bangalore,2024-03-26,2024-05-02,37,Night,Business,2
S0012032,T001504,Bangalore,Hyderabad,2024-03-12,2024-04-11,30,Night,Business,1
S0012033,T001505,Kolkata,Chennai,2024-03-26,2024-04-14,19,Morning,Leisure,1
S0012034,T001505,Mumbai,Hyderabad,2024-03-02,2024-03-06,4,Night,Business,1
S0012035,T001505,Chennai,Mumbai,2024-03-07,2024-04-14,38,Evening,Business,1
S0012036,T001505,Hyderabad,Mumbai,2024-03-14,2024-04-18,35,Morning,Leisure,1
S0012037,T001505,Chennai,Mumbai,2024-03-06,2024-04-14,39,Afternoon,Business,1
S0012038,T001505,Mumbai,Bangalore,2024-03-18,2024-04-03,16,Afternoon,Leisure,1
S0012039,T001505,Mumbai,Delhi,2024-03-13,2024-04-01,19,Early Morning,Business,1
S0012040,T001505,Kolkata,Bangalore,2024-03-13,2024-04-11,29,Early Morning,Leisure,1
S0012041,T001506,Delhi,Hyderabad,2024-03-23,2024-05-03,41,Night,Business,2
S0012042,T001506,Bangalore,Mumbai,2024-03-03,2024-03-25,22,Night,Business,1
S0012043,T001506,Mumbai,Chennai,2024-03-25,2024-05-05,41,Morning,Business,1
S0012044,T001506,Hyderabad,Chennai,2024-03-21,2024-04-28,38,Afternoon,Business,1
S0012045,T001506,Kolkata,Mumbai,2024-03-05,2024-03-28,23,Evening,Commute,1
S0012046,T001506,Bangalore,Chennai,2024-03-17,2024-03-27,10,Morning,Business,1
S0012047,T001506,Chennai,Bangalore,2024-03-18,2024-04-16,29,Afternoon,Commute,1
S0012048,T001506,Bangalore,Delhi,2024-03-14,2024-04-28,45,Night,Business,1
S0012049,T001507,Delhi,Chennai,2024-03-27,2024-04-07,11,Early Morning,Business,1
S0012050,T001507,Delhi,Bangalore,2024-03-16,2024-04-25,40,Morning,Business,2
S0012051,T001507,Mumbai,Bangalore,2024-03-01,2024-04-15,45,Night,Family / Personal,1
S0012052,T001507,Chennai,Kolkata,2024-03-01,2024-03-29,28,Afternoon,Commute,1
S0012053,T001507,Chennai,Hyderabad,2024-03-14,2024-04-15,32,Evening,Business,1
S0012054,T001507,Chennai,Bangalore,2024-03-02,2024-03-13,11,Evening,Business,1
S0012055,T001507,Kolkata,Delhi,2024-03-08,2024-03-25,17,Afternoon,Business,2
S0012056,T001507,Kolkata,Delhi,2024-03-25,2024-04-13,19,Morning,Business,1
S0012057,T001508,Chennai,Kolkata,2024-03-16,2024-04-17,32,Afternoon,Commute,1
S0012058,T001508,Chennai,Mumbai,2024-03-07,2024-04-24,48,Night,Family / Personal,3
S0012059,T001508,Chennai,Hyderabad,2024-03-09,2024-04-08,30,Evening,Business,1
S0012060,T001508,Chennai,Mumbai,2024-03-21,2024-04-25,35,Evening,Business,1
S0012061,T001508,Kolkata,Mumbai,2024-03-18,2024-04-09,22,Afternoon,Family / Personal,1
S0012062,T001508,Mumbai,Delhi,2024-03-27,2024-03-31,4,Morning,Commute,1
S0012063,T001508,Delhi,Hyderabad,2024-03-09,2024-03-27,18,Night,Leisure,2
S0012064,T001508,Chennai,Kolkata,2024-03-26,2024-05-14,49,Morning,Business,1
S0012065,T001509,Delhi,Chennai,2024-03-13,2024-03-27,14,Morning,Commute,1
S0012066,T001509,Hyderabad,Chennai,2024-03-29,2024-04-11,13,Early Morning,Business,1
S0012067,T001509,Mumbai,Kolkata,2024-03-07,2024-03-14,7,Evening,Business,1
S0012068,T001509,Chennai,Hyderabad,2024-03-25,2024-04-28,34,Early Morning,Leisure,1
S0012069,T001509,Bangalore,Chennai,2024-03-09,2024-04-19,41,Early Morning,Business,1
S0012070,T001509,Mumbai,Hyderabad,2024-03-26,2024-05-08,43,Morning,Business,1
S0012071,T001509,Kolkata,Bangalore,2024-03-29,2024-04-09,11,Morning,Business,1
S0012072,T001509,Delhi,Bangalore,2024-03-05,2024-03-12,7,Morning,Business,1
S0012073,T001510,Mumbai,Chennai,2024-03-22,2024-05-05,44,Morning,Business,1
S0012074,T001510,Kolkata,Mumbai,2024-03-13,2024-03-17,4,Early Morning,Leisure,1
S0012075,T001510,Mumbai,Chennai,2024-03-16,2024-03-26,10,Evening,Family / Personal,1
S0012076,T001510,Bangalore,Hyderabad,2024-03-02,2024-03-10,8,Morning,Commute,1
S0012077,T001510,Mumbai,Hyderabad,2024-03-14,2024-03-21,7,Afternoon,Commute,1
S0012078,T001510,Hyderabad,Delhi,2024-03-18,2024-04-06,19,Early Morning,Business,1
S0012079,T001510,Delhi,Hyderabad,2024-03-06,2024-04-15,40,Early Morning,Business,1
S0012080,T001510,Chennai,Mumbai,2024-03-28,2024-05-16,49,Morning,Business,3
S0012081,T001511,Chennai,Hyderabad,2024-03-16,2024-04-01,16,Night,Leisure,1
S0012082,T001511,Mumbai,Chennai,2024-03-02,2024-03-24,22,Night,Business,1
S0012083,T001511,Hyderabad,Mumbai,2024-03-10,2024-04-11,32,Night,Business,1
S0012084,T001511,Delhi,Chennai,2024-03-16,2024-03-24,8,Evening,Business,1
S0012085,T001511,Hyderabad,Delhi,2024-03-18,2024-04-17,30,Afternoon,Business,1
S0012086,T001511,Kolkata,Mumbai,2024-03-08,2024-04-11,34,Evening,Business,3
S0012087,T001511,Kolkata,Mumbai,2024-03-02,2024-04-11,40,Morning,Business,1
S0012088,T001511,Mumbai,Delhi,2024-03-13,2024-04-30,48,Afternoon,Business,1
S0012089,T001512,Mumbai,Bangalore,2024-03-08,2024-04-13,36,Early Morning,Leisure,1
S0012090,T001512,Chennai,Bangalore,2024-03-17,2024-04-22,36,Night,Business,1
S0012091,T001512,Delhi,Mumbai,2024-03-18,2024-04-08,21,Early Morning,Leisure,1
S0012092,T001512,Mumbai,Kolkata,2024-03-25,2024-04-10,16,Evening,Business,1
S0012093,T001512,Chennai,Mumbai,2024-03-12,2024-03-23,11,Early Morning,Business,1
S0012094,T001512,Mumbai,Hyderabad,2024-03-18,2024-04-20,33,Evening,Business,1
S0012095,T001512,Chennai,Mumbai,2024-03-21,2024-03-26,5,Afternoon,Business,1
S0012096,T001512,Mumbai,Kolkata,2024-03-17,2024-04-30,44,Afternoon,Business,1
S0012097,T001513,Bangalore,Chennai,2024-03-27,2024-04-23,27,Morning,Business,1
S0012098,T001513,Delhi,Kolkata,2024-03-14,2024-04-26,43,Early Morning,Leisure,2
S0012099,T001513,Bangalore,Delhi,2024-03-01,2024-03-22,21,Night,Business,1
S0012100,T001513,Delhi,Hyderabad,2024-03-30,2024-04-25,26,Evening,Commute,1
S0012101,T001513,Bangalore,Kolkata,2024-03-12,2024-04-12,31,Night,Family / Personal,1
S0012102,T001513,Bangalore,Hyderabad,2024-03-24,2024-04-02,9,Night,Business,1
S0012103,T001513,Mumbai,Bangalore,2024-03-20,2024-04-01,12,Evening,Business,1
S0012104,T001513,Hyderabad,Bangalore,2024-03-26,2024-04-06,11,Afternoon,Leisure,1
S0012105,T001514,Delhi,Hyderabad,2024-03-16,2024-04-04,19,Afternoon,Business,1
S0012106,T001514,Bangalore,Mumbai,2024-03-05,2024-03-21,16,Morning,Business,1
S0012107,T001514,Kolkata,Hyderabad,2024-03-09,2024-03-25,16,Morning,Business,1
S0012108,T001514,Chennai,Bangalore,2024-03-17,2024-03-20,3,Night,Commute,1
S0012109,T001514,Hyderabad,Chennai,2024-03-20,2024-04-17,28,Evening,Business,1
S0012110,T001514,Delhi,Kolkata,2024-03-05,2024-04-20,46,Afternoon,Business,2
S0012111,T001514,Delhi,Mumbai,2024-03-11,2024-04-09,29,Afternoon,Business,1
S0012112,T001514,Kolkata,Chennai,2024-03-01,2024-03-13,12,Night,Business,1
S0012113,T001515,Hyderabad,Mumbai,2024-03-24,2024-04-19,26,Evening,Commute,1
S0012114,T001515,Kolkata,Bangalore,2024-03-06,2024-03-16,10,Evening,Business,3
S0012115,T001515,Chennai,Kolkata,2024-03-20,2024-04-08,19,Evening,Leisure,1
S0012116,T001515,Bangalore,Delhi,2024-03-19,2024-04-19,31,Early Morning,Business,3
S0012117,T001515,Mumbai,Bangalore,2024-03-10,2024-03-24,14,Afternoon,Business,1
S0012118,T001515,Delhi,Bangalore,2024-03-16,2024-03-17,1,Early Morning,Business,1
S0012119,T001515,Delhi,Bangalore,2024-03-28,2024-03-31,3,Afternoon,Business,1
S0012120,T001515,Kolkata,Delhi,2024-03-15,2024-04-04,20,Evening,Business,1
S0012121,T001516,Kolkata,Chennai,2024-03-07,2024-03-11,4,Evening,Business,1
S0012122,T001516,Hyderabad,Mumbai,2024-03-18,2024-04-11,24,Early Morning,Commute,1
S0012123,T001516,Chennai,Mumbai,2024-03-02,2024-04-11,40,Night,Business,1
S0012124,T001516,Kolkata,Bangalore,2024-03-13,2024-04-08,26,Evening,Business,1
S0012125,T001516,Kolkata,Mumbai,2024-03-28,2024-04-09,12,Evening,Business,1
S0012126,T001516,Delhi,Kolkata,2024-03-12,2024-04-27,46,Afternoon,Business,1
S0012127,T001516,Chennai,Delhi,2024-03-14,2024-03-27,13,Night,Commute,2
S0012128,T001516,Chennai,Mumbai,2024-03-22,2024-03-27,5,Evening,Commute,1
S0012129,T001517,Delhi,Chennai,2024-03-20,2024-04-29,40,Night,Leisure,1
S0012130,T001517,Mumbai,Delhi,2024-03-27,2024-04-27,31,Night,Business,2
S0012131,T001517,Delhi,Kolkata,2024-03-23,2024-04-19,27,Afternoon,Business,1
S0012132,T001517,Chennai,Hyderabad,2024-03-11,2024-04-14,34,Afternoon,Business,2
S0012133,T001517,Bangalore,Hyderabad,2024-03-01,2024-03-13,12,Morning,Business,1
S0012134,T001517,Hyderabad,Delhi,2024-03-20,2024-04-10,21,Night,Business,2
S0012135,T001517,Bangalore,Chennai,2024-03-13,2024-04-22,40,Evening,Business,1
S0012136,T001517,Chennai,Hyderabad,2024-03-26,2024-04-11,16,Morning,Business,1
S0012137,T001518,Hyderabad,Chennai,2024-03-18,2024-03-28,10,Early Morning,Leisure,1
S0012138,T001518,Mumbai,Kolkata,2024-03-04,2024-03-12,8,Night,Commute,1
S0012139,T001518,Bangalore,Hyderabad,2024-03-10,2024-03-31,21,Afternoon,Business,1
S0012140,T001518,Hyderabad,Mumbai,2024-03-06,2024-04-02,27,Morning,Business,1
S0012141,T001518,Delhi,Kolkata,2024-03-28,2024-05-08,41,Early Morning,Commute,1
S0012142,T001518,Delhi,Hyderabad,2024-03-12,2024-03-22,10,Morning,Leisure,1
S0012143,T001518,Mumbai,Hyderabad,2024-03-12,2024-04-16,35,Night,Leisure,1
S0012144,T001518,Bangalore,Kolkata,2024-03-02,2024-04-10,39,Night,Leisure,1
S0012145,T001519,Hyderabad,Bangalore,2024-03-17,2024-04-18,32,Evening,Business,1
S0012146,T001519,Mumbai,Bangalore,2024-03-23,2024-04-28,36,Afternoon,Business,1
S0012147,T001519,Kolkata,Chennai,2024-03-09,2024-04-04,26,Afternoon,Business,2
S0012148,T001519,Mumbai,Chennai,2024-03-30,2024-04-27,28,Afternoon,Business,1
S0012149,T001519,Mumbai,Hyderabad,2024-03-15,2024-04-24,40,Night,Business,1
S0012150,T001519,Mumbai,Delhi,2024-03-10,2024-04-01,22,Evening,Business,1
S0012151,T001519,Kolkata,Bangalore,2024-03-30,2024-04-14,15,Morning,Leisure,1
S0012152,T001519,Hyderabad,Kolkata,2024-03-26,2024-05-08,43,Evening,Business,1
S0012153,T001520,Bangalore,Chennai,2024-03-16,2024-04-05,20,Evening,Business,1
S0012154,T001520,Kolkata,Hyderabad,2024-03-12,2024-03-26,14,Afternoon,Business,1
S0012155,T001520,Mumbai,Chennai,2024-03-21,2024-03-22,1,Morning,Business,1
S0012156,T001520,Delhi,Chennai,2024-03-29,2024-04-24,26,Morning,Business,1
S0012157,T001520,Bangalore,Mumbai,2024-03-04,2024-03-13,9,Night,Business,1
S0012158,T001520,Bangalore,Mumbai,2024-03-02,2024-03-24,22,Afternoon,Business,1
S0012159,T001520,Kolkata,Delhi,2024-03-19,2024-03-25,6,Early Morning,Business,2
S0012160,T001520,Bangalore,Hyderabad,2024-03-21,2024-03-28,7,Early Morning,Business,1
S0012161,T001521,Delhi,Bangalore,2024-03-12,2024-04-14,33,Evening,Business,1
S0012162,T001521,Bangalore,Delhi,2024-03-03,2024-03-17,14,Early Morning,Commute,1
S0012163,T001521,Bangalore,Delhi,2024-03-19,2024-04-25,37,Early Morning,Business,1
S0012164,T001521,Chennai,Mumbai,2024-03-15,2024-04-08,24,Afternoon,Business,2
S0012165,T001521,Delhi,Hyderabad,2024-03-10,2024-03-21,11,Early Morning,Business,1
S0012166,T001521,Mumbai,Hyderabad,2024-03-15,2024-04-25,41,Morning,Family / Personal,1
S0012167,T001521,Kolkata,Hyderabad,2024-03-25,2024-04-28,34,Early Morning,Business,1
S0012168,T001521,Delhi,Chennai,2024-03-26,2024-04-10,15,Evening,Business,1
S0012169,T001522,Hyderabad,Kolkata,2024-03-25,2024-05-07,43,Night,Business,1
S0012170,T001522,Kolkata,Bangalore,2024-03-13,2024-04-15,33,Evening,Commute,1
S0012171,T001522,Chennai,Delhi,2024-03-07,2024-04-19,43,Night,Business,1
S0012172,T001522,Hyderabad,Bangalore,2024-03-16,2024-04-06,21,Evening,Commute,1
S0012173,T001522,Delhi,Bangalore,2024-03-17,2024-04-05,19,Evening,Family / Personal,1
S0012174,T001522,Hyderabad,Chennai,2024-03-20,2024-04-10,21,Morning,Commute,1
S0012175,T001522,Kolkata,Bangalore,2024-03-21,2024-05-04,44,Night,Business,1
S0012176,T001522,Kolkata,Bangalore,2024-03-26,2024-03-27,1,Evening,Business,1
S0012177,T001523,Bangalore,Delhi,2024-03-16,2024-03-22,6,Evening,Family / Personal,3
S0012178,T001523,Mumbai,Kolkata,2024-03-01,2024-04-13,43,Early Morning,Family / Personal,2
S0012179,T001523,Kolkata,Chennai,2024-03-26,2024-05-08,43,Afternoon,Commute,1
S0012180,T001523,Chennai,Delhi,2024-03-25,2024-04-28,34,Afternoon,Business,1
S0012181,T001523,Hyderabad,Kolkata,2024-03-11,2024-04-23,43,Night,Business,1
S0012182,T001523,Delhi,Hyderabad,2024-03-20,2024-03-25,5,Afternoon,Business,1
S0012183,T001523,Chennai,Bangalore,2024-03-25,2024-05-04,40,Morning,Leisure,1
S0012184,T001523,Delhi,Kolkata,2024-03-10,2024-04-10,31,Afternoon,Business,1
S0012185,T001524,Chennai,Bangalore,2024-03-28,2024-04-10,13,Afternoon,Business,1
S0012186,T001524,Delhi,Bangalore,2024-03-28,2024-04-22,25,Night,Business,2
S0012187,T001524,Delhi,Bangalore,2024-03-26,2024-04-01,6,Afternoon,Business,1
S0012188,T001524,Bangalore,Delhi,2024-03-15,2024-03-28,13,Morning,Business,1
S0012189,T001524,Kolkata,Hyderabad,2024-03-01,2024-03-14,13,Morning,Leisure,1
S0012190,T001524,Chennai,Bangalore,2024-03-26,2024-04-24,29,Night,Business,1
S0012191,T001524,Bangalore,Delhi,2024-03-15,2024-04-25,41,Morning,Business,1
S0012192,T001524,Delhi,Bangalore,2024-03-26,2024-04-30,35,Afternoon,Business,1
S0012193,T001525,Chennai,Bangalore,2024-03-09,2024-04-02,24,Early Morning,Business,1
S0012194,T001525,Mumbai,Delhi,2024-03-12,2024-04-04,23,Early Morning,Business,1
S0012195,T001525,Chennai,Mumbai,2024-03-19,2024-05-06,48,Afternoon,Business,1
S0012196,T001525,Mumbai,Chennai,2024-03-03,2024-03-18,15,Evening,Commute,1
S0012197,T001525,Kolkata,Delhi,2024-03-17,2024-03-28,11,Night,Leisure,1
S0012198,T001525,Delhi,Hyderabad,2024-03-30,2024-04-10,11,Afternoon,Business,1
S0012199,T001525,Delhi,Kolkata,2024-03-24,2024-04-27,34,Evening,Leisure,1
S0012200,T001525,Delhi,Chennai,2024-03-24,2024-04-28,35,Early Morning,Business,1
S0012201,T001526,Kolkata,Hyderabad,2024-03-08,2024-03-23,15,Morning,Business,1
S0012202,T001526,Chennai,Bangalore,2024-03-10,2024-03-12,2,Night,Business,1
S0012203,T001526,Hyderabad,Kolkata,2024-03-09,2024-04-01,23,Afternoon,Business,1
S0012204,T001526,Mumbai,Delhi,2024-03-24,2024-04-12,19,Morning,Leisure,1
S0012205,T001526,Chennai,Hyderabad,2024-03-13,2024-04-22,40,Afternoon,Business,1
S0012206,T001526,Mumbai,Kolkata,2024-03-01,2024-03-05,4,Evening,Commute,1
S0012207,T001526,Bangalore,Mumbai,2024-03-10,2024-04-11,32,Morning,Business,1
S0012208,T001526,Hyderabad,Chennai,2024-03-04,2024-04-19,46,Night,Business,1
S0012209,T001527,Mumbai,Chennai,2024-03-18,2024-04-30,43,Night,Commute,1
S0012210,T001527,Chennai,Delhi,2024-03-22,2024-04-16,25,Evening,Business,1
S0012211,T001527,Chennai,Delhi,2024-03-26,2024-04-13,18,Evening,Commute,1
S0012212,T001527,Chennai,Bangalore,2024-03-21,2024-04-14,24,Early Morning,Business,1
S0012213,T001527,Hyderabad,Bangalore,2024-03-30,2024-05-18,49,Evening,Business,1
S0012214,T001527,Mumbai,Hyderabad,2024-03-18,2024-04-05,18,Afternoon,Business,1
S0012215,T001527,Hyderabad,Delhi,2024-03-14,2024-04-13,30,Early Morning,Business,2
S0012216,T001527,Delhi,Hyderabad,2024-03-10,2024-03-22,12,Morning,Business,1
S0012217,T001528,Mumbai,Chennai,2024-03-19,2024-04-04,16,Morning,Leisure,1
S0012218,T001528,Chennai,Hyderabad,2024-03-16,2024-04-25,40,Afternoon,Family / Personal,1
S0012219,T001528,Kolkata,Chennai,2024-03-15,2024-05-01,47,Night,Business,1
S0012220,T001528,Delhi,Chennai,2024-03-16,2024-03-28,12,Evening,Business,1
S0012221,T001528,Delhi,Hyderabad,2024-03-25,2024-05-04,40,Evening,Business,1
S0012222,T001528,Kolkata,Bangalore,2024-03-11,2024-04-04,24,Morning,Business,1
