traveller_id,persona_type,cost_sensitivity,time_sensitivity,reliability_sensitivity,comfort_preference,transfer_tolerance,departure_time_flexibility,sustainability_preference
T000270,Occasional Leisure Traveler,0.6337,0.4517,0.6255,0.6707,0.422,0.5581,0.6154
T000271,Occasional Leisure Traveler,0.4982,0.5317,0.5908,0.8335,0.5934,0.9253,0.5183
T000272,Occasional Leisure Traveler,0.5815,0.6,0.5632,0.7154,0.3159,0.8797,0.5254
T000273,Occasional Leisure Traveler,0.5067,0.6676,0.561,0.4771,0.6886,0.7644,0.6515
T000274,Occasional Leisure Traveler,0.6914,0.6348,0.5804,0.805,0.3439,0.8218,0.5222
T000275,Occasional Leisure Traveler,0.5131,0.5239,0.6981,0.6579,0.6537,0.7218,0.6124
T000276,Occasional Leisure Traveler,0.7466,0.4289,0.6272,0.6357,0.6192,0.8075,0.6713
T000277,Occasional Leisure Traveler,0.5728,0.4183,0.4696,0.634,0.6406,0.7099,0.4683
T000278,Occasional Leisure Traveler,0.48,0.4149,0.3427,0.7818,0.5635,0.8002,0.5338
T000279,Occasional Leisure Traveler,0.5507,0.4066,0.5256,0.6449,0.654,0.8825,0.348
T000280,Occasional Leisure Traveler,0.4777,0.5117,0.6584,0.473,0.4998,0.8308,0.3896
T000281,Occasional Leisure Traveler,0.5543,0.4353,0.7111,0.7628,0.6346,0.7078,0.4243
T000282,Occasional Leisure Traveler,0.4719,0.4478,0.5444,0.5547,0.7469,0.7664,0.6199
T000283,Occasional Leisure Traveler,0.4992,0.3727,0.4454,0.6262,0.2327,0.7092,0.3428
T000284,Occasional Leisure Traveler,0.6204,0.507,0.4874,0.7707,0.6032,0.8851,0.572
T000285,Occasional Leisure Traveler,0.5605,0.571,0.6573,0.6688,0.6142,0.8795,0.6594
T000286,Occasional Leisure Traveler,0.5737,0.2472,0.5359,0.6417,0.5388,0.8588,0.4549
T000287,Occasional Leisure Traveler,0.6821,0.6132,0.6034,0.7852,0.5811,0.6539,0.4064
T000288,Occasional Leisure Traveler,0.4658,0.6973,0.5321,0.856,0.6843,0.889,0.5426
T000289,Occasional Leisure Traveler,0.5514,0.1871,0.4329,0.7831,0.5721,0.9409,0.546
T000290,Occasional Leisure Traveler,0.5132,0.496,0.6304,0.6754,0.5584,0.6825,0.5019
T000291,Occasional Leisure Traveler,0.3049,0.6126,0.5033,0.7517,0.4164,0.7757,0.5821
T000292,Occasional Leisure Traveler,0.4376,0.4851,0.2486,0.8183,0.5579,0.5839,0.6373
T000293,Occasional Leisure Traveler,0.5528,0.4328,0.4547,0.5781,0.3654,0.9578,0.3781
T000294,Occasional Leisure Traveler,0.7006,0.3513,0.4833,0.6804,0.4566,0.8172,0.7384
T000295,Occasional Leisure Traveler,0.4176,0.6035,0.6578,0.713,0.4329,0.9626,0.4677
T000296,Occasional Leisure Traveler,0.3063,0.2504,0.4456,0.7625,0.3506,0.8533,0.4455
T000297,Occasional Leisure Traveler,0.5755,0.5878,0.6426,0.8715,0.5605,0.7563,0.546
T000298,Occasional Leisure Traveler,0.806,0.6036,0.4303,0.6522,0.5755,0.8197,0.5011
T000299,Occasional Leisure Traveler,0.63,0.4264,0.5262,0.8037,0.3535,0.7275,0.6287
T000300,Occasional Leisure Traveler,0.4491,0.3235,0.6858,0.7028,0.4849,0.721,0.3633
T000301,Car-Dependent Suburban,0.6183,0.6734,0.5985,0.8591,0.0791,0.4631,0.5976
T000302,Car-Dependent Suburban,0.5392,0.8035,0.6977,0.5047,0.0318,0.6945,0.2124
T000303,Car-Dependent Suburban,0.12,0.6249,0.5928,0.5597,0.1435,0.3055,0.2344
T000304,Car-Dependent Suburban,0.4847,0.3937,0.5699,0.8916,0.0178,0.6698,0.3965
T000305,Car-Dependent Suburban,0.3955,0.4816,0.572,0.6428,0.122,0.7467,0.5158
T000306,Car-Dependent Suburban,0.4873,0.4594,0.4787,0.7627,0.2531,0.8122,0.1996
T000307,Car-Dependent Suburban,0.2929,0.5645,0.4289,0.8348,0.2539,0.6046,0.3954
T000308,Car-Dependent Suburban,0.5799,0.7739,0.5925,0.5503,0.3193,0.4102,0.4045
T000309,Car-Dependent Suburban,0.6281,0.5022,0.4611,0.6377,0.1792,0.7263,0.1953
T000310,Car-Dependent Suburban,0.3384,0.5216,0.6797,0.7397,0.2506,0.693,0.282
T000311,Car-Dependent Suburban,0.4793,0.2364,0.7555,0.6703,0.0859,0.7774,0.2337
T000312,Car-Dependent Suburban,0.4826,0.7155,0.4093,0.7592,0.2258,0.7402,0.173
T000313,Car-Dependent Suburban,0.3655,0.642,0.3493,0.6633,0.2544,0.3706,0.476
T000314,Car-Dependent Suburban,0.4231,0.5598,0.376,0.8009,0.1362,0.5767,0.0463
T000315,Car-Dependent Suburban,0.446,0.4409,0.5534,0.6917,0.2851,0.5548,0.4366
T000316,Car-Dependent Suburban,0.3737,0.3692,0.7172,0.6142,0.1558,0.723,0.3904
T000317,Car-Dependent Suburban,0.5976,0.4798,0.6884,0.5766,0.1969,0.5698,0.1519
T000318,Car-Dependent Suburban,0.4304,0.6514,0.3778,0.5872,0.0512,0.5656,0.2699
T000319,Car-Dependent Suburban,0.5193,0.6464,0.6014,0.6428,0.2685,0.4309,0.1868
T000320,Car-Dependent Suburban,0.4758,0.363,0.5082,0.6254,0.267,0.7237,0.3459
T000321,Car-Dependent Suburban,0.317,0.6635,0.546,0.7017,0.1659,0.2612,0.59
T000322,Car-Dependent Suburban,0.523,0.5473,0.5176,0.6289,0.3259,0.5661,0.2085
T000323,Car-Dependent Suburban,0.4132,0.409,0.7912,0.6575,0.1178,0.4184,0.4356
T000324,Car-Dependent Suburban,0.6347,0.4269,0.4833,0.5616,0.2806,0.5453,0.2858
T000325,Car-Dependent Suburban,0.5212,0.7018,0.5081,0.6886,0.1329,0.4504,0.3032
T000326,Car-Dependent Suburban,0.6998,0.518,0.6661,0.7972,0.2793,0.3992,0.2622
T000327,Car-Dependent Suburban,0.6461,0.1978,0.2799,0.6701,0.1221,0.4599,0.3281
T000328,Car-Dependent Suburban,0.3569,0.6456,0.4332,0.7362,0.1275,0.4637,0.1738
T000329,Car-Dependent Suburban,0.3768,0.3261,0.3526,0.8974,0.0734,0.5238,0.3182
T000330,Car-Dependent Suburban,0.2553,0.3911,0.4789,0.5991,0.1459,0.4413,0.2489
T000331,Car-Dependent Suburban,0.364,0.4417,0.4168,0.7187,0.3609,0.5957,0.3799
T000332,Car-Dependent Suburban,0.4608,0.6772,0.569,0.583,0.0684,0.4157,0.2869
T000333,Car-Dependent Suburban,0.4497,0.6199,0.4863,0.8668,0.0617,0.622,0.317
T000334,Car-Dependent Suburban,0.3305,0.6021,0.476,0.8497,0.2998,0.4696,0.5027
T000335,Car-Dependent Suburban,0.4592,0.4826,0.6226,0.5784,0.0195,0.566,0.1049
T000336,Car-Dependent Suburban,0.4995,0.5209,0.6739,0.5359,0.2094,0.5889,0.1338
T000337,Car-Dependent Suburban,0.4343,0.5617,0.5322,0.7569,0.2997,0.4463,0.1776
T000338,Car-Dependent Suburban,0.3258,0.5466,0.354,0.6404,0.2248,0.6256,0.1208
T000339,Car-Dependent Suburban,0.582,0.5388,0.5861,0.7637,0.1974,0.3821,0.2134
T000340,Car-Dependent Suburban,0.4777,0.6401,0.4672,0.5639,0.2107,0.3383,0.0927
T000341,Car-Dependent Suburban,0.4209,0.5831,0.5719,0.7486,0.1798,0.6603,0.1724
T000342,Car-Dependent Suburban,0.3513,0.563,0.5087,0.6961,0.1077,0.5919,0.4215
T000343,Car-Dependent Suburban,0.7281,0.3487,0.5114,0.5451,0.0715,0.7063,0.1731
T000344,Car-Dependent Suburban,0.5084,0.4848,0.7651,0.5552,0.122,0.7526,0.3494
T000345,Car-Dependent Suburban,0.3237,0.3862,0.412,0.6448,0.1439,0.6822,0.4627
T000346,Car-Dependent Suburban,0.4601,0.5134,0.6525,0.5061,0.2445,0.5296,0.2915
T000347,Car-Dependent Suburban,0.4845,0.5804,0.6508,0.3786,0.3486,0.6475,0.1287
T000348,Car-Dependent Suburban,0.4286,0.4438,0.7216,0.784,0.1886,0.4552,0.3687
T000349,Car-Dependent Suburban,0.487,0.5171,0.4368,0.8059,0.2357,0.6753,0.1665
T000350,Car-Dependent Suburban,0.3052,0.4436,0.6351,0.519,0.2308,0.7304,0.24
T000351,Car-Dependent Suburban,0.3892,0.5258,0.5375,0.7112,0.1746,0.49,0.4868
T000352,Car-Dependent Suburban,0.4969,0.4095,0.453,0.7886,0.1723,0.5644,0.1499
T000353,Car-Dependent Suburban,0.6063,0.5522,0.6103,0.5435,0.414,0.7365,0.3339
T000354,Car-Dependent Suburban,0.3509,0.4453,0.4817,0.5425,0.244,0.6075,0.2643
T000355,Car-Dependent Suburban,0.5203,0.5573,0.569,0.7203,0.2703,0.61,0.2798
T000356,Car-Dependent Suburban,0.5545,0.3759,0.2793,0.2624,0.3159,0.6121,0.2066
T000357,Car-Dependent Suburban,0.5369,0.4852,0.6742,0.8407,0.0799,0.5749,0.4469
T000358,Car-Dependent Suburban,0.4158,0.5882,0.5295,0.371,0.1825,0.3252,0.3101
T000359,Car-Dependent Suburban,0.759,0.4362,0.5112,0.6699,0.2179,0.3411,0.3914
T000360,Car-Dependent Suburban,0.3535,0.305,0.5888,0.8595,0.0503,0.6786,0.1207
T000361,Car-Dependent Suburban,0.4442,0.2979,0.682,0.7086,0.0792,0.6709,0.0581
T000362,Car-Dependent Suburban,0.3624,0.5981,0.3211,0.6489,0.2426,0.658,0.3921
T000363,Car-Dependent Suburban,0.4311,0.6593,0.6204,0.6265,0.0931,0.7363,0.3025
T000364,Car-Dependent Suburban,0.4268,0.726,0.4602,0.5232,0.4213,0.7143,0.1264
T000365,Car-Dependent Suburban,0.2999,0.6585,0.5655,0.7822,0.2685,0.7194,0.3615
T000366,Car-Dependent Suburban,0.641,0.4495,0.545,0.7637,0.0885,0.5357,0.4314
T000367,Car-Dependent Suburban,0.6821,0.8398,0.3593,0.4377,0.0404,0.6222,0.2274
T000368,Car-Dependent Suburban,0.4694,0.7091,0.5081,0.6956,0.3581,0.4502,0.4076
T000369,Car-Dependent Suburban,0.3664,0.7074,0.4322,0.6214,0.0609,0.6151,0.428
T000370,Car-Dependent Suburban,0.5368,0.4517,0.6255,0.7638,0.232,0.6148,0.2278
T000371,Car-Dependent Suburban,0.4048,0.6155,0.4366,0.5362,0.2013,0.297,0.4354
T000372,Car-Dependent Suburban,0.5379,0.5599,0.6884,0.6876,0.1651,0.3951,0.2853
T000373,Car-Dependent Suburban,0.3614,0.4243,0.5647,0.7312,0.0833,0.3194,0.4073
T000374,Car-Dependent Suburban,0.397,0.7567,0.5182,0.5822,0.1548,0.4152,0.5187
T000375,Car-Dependent Suburban,0.3456,0.4013,0.7194,0.7196,0.0896,0.6173,0.1683
T000376,Car-Dependent Suburban,0.477,0.4287,0.3749,0.6228,0.269,0.6595,0.2067
T000377,Car-Dependent Suburban,0.4346,0.5849,0.5943,0.6446,0.3211,0.6006,0.5388
T000378,Car-Dependent Suburban,0.4262,0.5256,0.4086,0.5748,0.1542,0.4416,0.2715
T000379,Car-Dependent Suburban,0.5443,0.4143,0.5531,0.5832,0.1233,0.5744,0.3251
T000380,Car-Dependent Suburban,0.4135,0.4556,0.6576,0.8483,0.1453,0.3456,0.2949
T000381,Car-Dependent Suburban,0.393,0.657,0.5301,0.6815,0.1086,0.5723,0.1803
T000382,Car-Dependent Suburban,0.4438,0.7862,0.6006,0.8373,0.0844,0.5729,0.4112
T000383,Car-Dependent Suburban,0.5725,0.5756,0.3475,0.7217,0.1988,0.6887,0.3388
T000384,Car-Dependent Suburban,0.643,0.6144,0.568,0.753,0.1149,0.3171,0.2948
T000385,Car-Dependent Suburban,0.3489,0.5846,0.6783,0.7313,0.3692,0.6274,0.1517
T000386,Car-Dependent Suburban,0.7555,0.5672,0.5122,0.799,0.1801,0.5191,0.1767
T000387,Car-Dependent Suburban,0.5009,0.6866,0.5881,0.8089,0.101,0.6688,0.0453
T000388,Car-Dependent Suburban,0.363,0.3359,0.5402,0.6696,0.3307,0.5161,0.3481
T000389,Car-Dependent Suburban,0.4549,0.5279,0.7161,0.7769,0.1939,0.6614,0.121
T000390,Car-Dependent Suburban,0.3006,0.3771,0.3211,0.5877,0.2214,0.3222,0.2451
T000391,Car-Dependent Suburban,0.4044,0.5686,0.6481,0.4309,0.1024,0.6167,0.3679
T000392,Car-Dependent Suburban,0.5322,0.5803,0.7428,0.7767,0.0912,0.5269,0.2453
T000393,Car-Dependent Suburban,0.6276,0.5537,0.827,0.6013,0.2026,0.6023,0.4544
T000394,Car-Dependent Suburban,0.2814,0.7563,0.6029,0.8376,0.1836,0.8367,0.2441
T000395,Car-Dependent Suburban,0.2618,0.6718,0.4553,0.4334,0.0782,0.5825,0.2102
T000396,Car-Dependent Suburban,0.4278,0.3084,0.6803,0.4894,0.2519,0.5822,0.3484
T000397,Car-Dependent Suburban,0.4209,0.5918,0.5919,0.6299,0.2129,0.6909,0.4284
T000398,Car-Dependent Suburban,0.5526,0.7101,0.2245,0.5551,0.3631,0.5802,0.2874
T000399,Car-Dependent Suburban,0.251,0.6249,0.5691,0.6783,0.2805,0.455,0.1995
T000400,Car-Dependent Suburban,0.5012,0.7401,0.56,0.5837,0.2349,0.4589,0.3177
T000401,Eco-Conscious Urbanite,0.5445,0.4745,0.7127,0.4866,0.4372,0.7917,0.873
T000402,Eco-Conscious Urbanite,0.7082,0.6561,0.5902,0.4224,0.9086,0.7728,0.9399
T000403,Eco-Conscious Urbanite,0.6041,0.4176,0.6909,0.6084,0.7238,0.7437,0.9106
T000404,Eco-Conscious Urbanite,0.7513,0.4002,0.6885,0.3078,0.5358,0.781,0.9611
T000405,Eco-Conscious Urbanite,0.6094,0.2739,0.753,0.5993,0.3761,0.8762,0.8448
T000406,Eco-Conscious Urbanite,0.6045,0.5655,0.6292,0.7346,0.52,0.965,0.8957
T000407,Eco-Conscious Urbanite,0.6842,0.6234,0.5984,0.4143,0.7368,0.7886,0.8924
T000408,Eco-Conscious Urbanite,0.728,0.6551,0.7617,0.5728,0.4737,0.6888,0.8876
T000409,Eco-Conscious Urbanite,0.6358,0.3369,0.8015,0.5843,0.668,0.6952,0.9297
T000410,Eco-Conscious Urbanite,0.4122,0.521,0.5508,0.4416,0.4347,0.6506,0.9379
T000411,Eco-Conscious Urbanite,0.6124,0.6919,0.6794,0.5614,0.6997,0.5964,0.8505
T000412,Eco-Conscious Urbanite,0.3978,0.5427,0.8466,0.6211,0.7462,0.8807,0.8175
T000413,Eco-Conscious Urbanite,0.6955,0.5277,0.8021,0.5107,0.7892,0.7613,0.9408
T000414,Eco-Conscious Urbanite,0.6093,0.685,0.6979,0.6327,0.7252,0.8223,0.8048
T000415,Eco-Conscious Urbanite,0.6773,0.4596,0.6319,0.7068,0.7587,0.7011,0.9335
T000416,Eco-Conscious Urbanite,0.3385,0.3901,0.6746,0.406,0.6243,0.8314,0.89
T000417,Eco-Conscious Urbanite,0.5159,0.6368,0.413,0.6369,0.6121,0.7406,0.9143
T000418,Eco-Conscious Urbanite,0.5589,0.7131,0.5985,0.5464,0.7379,0.7573,0.8947
T000419,Eco-Conscious Urbanite,0.7382,0.5281,0.7805,0.5659,0.6654,0.8695,0.986
T000420,Eco-Conscious Urbanite,0.7075,0.3737,0.5685,0.4157,0.924,0.8383,0.9252
T000421,Eco-Conscious Urbanite,0.5889,0.566,0.6384,0.6227,0.7764,0.8211,0.8295
T000422,Eco-Conscious Urbanite,0.7999,0.4627,0.6169,0.5024,0.6281,0.7199,0.9802
T000423,Eco-Conscious Urbanite,0.7687,0.5897,0.5375,0.5526,0.7759,0.8,0.9365
T000424,Eco-Conscious Urbanite,0.6612,0.3901,0.6082,0.523,0.4291,0.6802,0.946
T000425,Eco-Conscious Urbanite,0.6766,0.4896,0.6793,0.6096,0.7505,0.8825,0.9193
T000426,Eco-Conscious Urbanite,0.6777,0.5154,0.6932,0.7295,0.5782,0.9103,0.9585
T000427,Eco-Conscious Urbanite,0.3504,0.707,0.6357,0.6524,0.7475,0.7528,0.9158
T000428,Eco-Conscious Urbanite,0.7023,0.6767,0.5522,0.6578,0.7096,0.9281,0.8008
T000429,Eco-Conscious Urbanite,0.5181,0.4479,0.4692,0.5349,0.8316,0.7177,0.9773
T000430,Eco-Conscious Urbanite,0.8091,0.7546,0.5413,0.5496,0.7324,0.7465,0.9573
T000431,Eco-Conscious Urbanite,0.5172,0.3513,0.5573,0.2807,0.3865,0.8892,0.9285
T000432,Eco-Conscious Urbanite,0.5443,0.1716,0.7124,0.5474,0.6525,0.6782,0.8362
T000433,Eco-Conscious Urbanite,0.6192,0.4082,0.661,0.6301,0.7197,0.7913,0.847
T000434,Eco-Conscious Urbanite,0.6281,0.6103,0.6038,0.7369,0.7938,0.6892,0.8771
T000435,Eco-Conscious Urbanite,0.6066,0.5057,0.6566,0.6985,0.6214,0.7629,0.8289
T000436,Eco-Conscious Urbanite,0.6516,0.6291,0.7327,0.3051,0.6869,0.8574,0.922
T000437,Eco-Conscious Urbanite,0.4271,0.2677,0.6788,0.396,0.6768,0.7743,0.9187
T000438,Eco-Conscious Urbanite,0.3673,0.4883,0.7521,0.5508,0.6642,0.7863,0.9738
T000439,Eco-Conscious Urbanite,0.4969,0.3961,0.544,0.751,0.7468,0.8603,0.9505
T000440,Eco-Conscious Urbanite,0.6209,0.646,0.4144,0.3552,0.3306,0.7082,0.8835
T000441,Eco-Conscious Urbanite,0.3901,0.4811,0.422,0.5808,0.8117,0.9018,0.7307
T000442,Eco-Conscious Urbanite,0.566,0.589,0.5178,0.5511,0.5532,0.751,0.9395
T000443,Eco-Conscious Urbanite,0.4705,0.5642,0.7379,0.6218,0.7227,0.6355,0.8397
T000444,Eco-Conscious Urbanite,0.3711,0.4739,0.6786,0.6028,0.8201,0.7585,0.6439
T000445,Eco-Conscious Urbanite,0.8822,0.4002,0.5157,0.4342,0.5865,0.6236,0.8767
T000446,Eco-Conscious Urbanite,0.6492,0.4196,0.4862,0.4619,0.5153,0.6154,0.9852
T000447,Eco-Conscious Urbanite,0.5848,0.339,0.7378,0.6034,0.7751,0.8446,0.8744
T000448,Eco-Conscious Urbanite,0.5814,0.7188,0.6372,0.5445,0.6268,0.748,0.9217
T000449,Eco-Conscious Urbanite,0.2187,0.4694,0.6929,0.6346,0.7294,0.9365,0.6298
T000450,Eco-Conscious Urbanite,0.2819,0.3423,0.8585,0.5343,0.6072,0.5432,0.8758
T000451,Eco-Conscious Urbanite,0.6628,0.2934,0.7002,0.7615,0.8094,0.631,0.7092
T000452,Eco-Conscious Urbanite,0.6682,0.5664,0.6021,0.5561,0.556,0.727,0.9354
T000453,Eco-Conscious Urbanite,0.7285,0.6899,0.6208,0.707,0.7811,0.6088,0.976
T000454,Eco-Conscious Urbanite,0.625,0.3611,0.6485,0.4709,0.7646,0.75,0.9483
T000455,Eco-Conscious Urbanite,0.5398,0.4846,0.706,0.4763,0.7019,0.6658,0.8578
T000456,Eco-Conscious Urbanite,0.6154,0.6075,0.7006,0.6093,0.3825,0.882,0.7661
T000457,Eco-Conscious Urbanite,0.3633,0.4508,0.8654,0.5186,0.6152,0.7209,0.7292
T000458,Eco-Conscious Urbanite,0.5812,0.5054,0.5905,0.572,0.4796,0.6862,0.9152
T000459,Eco-Conscious Urbanite,0.7224,0.4401,0.8966,0.8864,0.7552,0.7348,0.8165
T000460,Eco-Conscious Urbanite,0.5889,0.6048,0.702,0.6453,0.7697,0.6497,0.7507
T000461,Eco-Conscious Urbanite,0.5388,0.615,0.4956,0.5718,0.8878,0.6113,0.8658
T000462,Eco-Conscious Urbanite,0.5364,0.6733,0.5223,0.6109,0.7596,0.692,0.8569
T000463,Eco-Conscious Urbanite,0.8399,0.5469,0.7167,0.63,0.5303,0.5417,0.8741
T000464,Eco-Conscious Urbanite,0.4931,0.5673,0.5854,0.6184,0.767,0.6074,0.7918
T000465,Eco-Conscious Urbanite,0.5528,0.649,0.8097,0.5173,0.7068,0.8447,0.8891
T000466,Eco-Conscious Urbanite,0.5475,0.3956,0.5549,0.4858,0.7216,0.729,0.9101
T000467,Eco-Conscious Urbanite,0.6631,0.7638,0.4654,0.3938,0.7063,0.8432,0.9211
T000468,Eco-Conscious Urbanite,0.458,0.4905,0.567,0.4426,0.5472,0.6088,0.882
T000469,Eco-Conscious Urbanite,0.4876,0.7056,0.7889,0.5222,0.6215,0.8858,0.8516
T000470,Eco-Conscious Urbanite,0.6256,0.3654,0.5094,0.5525,0.788,0.6949,0.9595
T000471,Eco-Conscious Urbanite,0.7588,0.5738,0.7286,0.5844,0.7241,0.8548,0.8969
T000472,Eco-Conscious Urbanite,0.7956,0.6492,0.7773,0.6937,0.7156,0.7352,0.9208
T000473,Eco-Conscious Urbanite,0.6241,0.4699,0.8275,0.7126,0.8015,0.8626,0.9394
T000474,Eco-Conscious Urbanite,0.3392,0.341,0.751,0.8566,0.6136,0.82,0.9811
T000475,Eco-Conscious Urbanite,0.46,0.252,0.6516,0.6034,0.6792,0.7368,0.8712
T000476,Eco-Conscious Urbanite,0.6663,0.362,0.7112,0.401,0.6828,0.8492,0.6593
T000477,Eco-Conscious Urbanite,0.7073,0.5585,0.7568,0.4937,0.8439,0.5863,0.7633
T000478,Eco-Conscious Urbanite,0.5182,0.7294,0.7764,0.6182,0.6113,0.8115,0.95
T000479,Eco-Conscious Urbanite,0.5215,0.3749,0.5249,0.6024,0.794,0.6603,0.9259
T000480,Eco-Conscious Urbanite,0.6925,0.2766,0.4992,0.3719,0.6674,0.6444,0.8264
T000481,Eco-Conscious Urbanite,0.3617,0.471,0.6371,0.7273,0.884,0.4338,0.827
T000482,Eco-Conscious Urbanite,0.2008,0.3998,0.615,0.5171,0.5913,0.635,0.9542
T000483,Eco-Conscious Urbanite,0.3642,0.3359,0.8097,0.5348,0.7229,0.8371,0.9028
T000484,Eco-Conscious Urbanite,0.436,0.362,0.6514,0.6293,0.6043,0.8778,0.9319
T000485,Eco-Conscious Urbanite,0.4293,0.6906,0.6907,0.5659,0.8612,0.7578,0.7881
T000486,Eco-Conscious Urbanite,0.3409,0.3458,0.6874,0.5465,0.4914,0.6349,0.9411
T000487,Eco-Conscious Urbanite,0.5506,0.6871,0.7154,0.3847,0.8591,0.7425,0.9696
T000488,Eco-Conscious Urbanite,0.5366,0.4589,0.6745,0.6354,0.6961,0.562,0.9446
T000489,Eco-Conscious Urbanite,0.5581,0.5698,0.7639,0.5127,0.7449,0.9186,0.8304
T000490,Eco-Conscious Urbanite,0.476,0.4002,0.5363,0.556,0.6702,0.7196,0.8715
T000491,Eco-Conscious Urbanite,0.5416,0.7282,0.7178,0.5213,0.4581,0.6947,0.8901
T000492,Eco-Conscious Urbanite,0.3519,0.4876,0.4075,0.4427,0.6792,0.8147,0.8905
T000493,Eco-Conscious Urbanite,0.6083,0.4892,0.5198,0.5295,0.7311,0.7388,0.8975
T000494,Eco-Conscious Urbanite,0.6277,0.5146,0.883,0.7456,0.4814,0.6148,0.9348
T000495,Eco-Conscious Urbanite,0.6716,0.3681,0.7014,0.6238,0.7967,0.8241,0.7857
T000496,Eco-Conscious Urbanite,0.5059,0.4634,0.8182,0.5907,0.861,0.7177,0.8037
T000497,Eco-Conscious Urbanite,0.7459,0.5012,0.6824,0.628,0.847,0.8871,0.8742
T000498,Eco-Conscious Urbanite,0.6329,0.6954,0.6549,0.516,0.5229,0.7448,0.84
T000499,Eco-Conscious Urbanite,0.6365,0.4903,0.7427,0.6922,0.6461,0.8191,0.8381
T000500,Eco-Conscious Urbanite,0.5903,0.5599,0.6297,0.6461,0.7382,0.7157,0.9265
T000501,Mobility-Constrained Traveler,0.4008,0.1606,0.7294,0.8964,0.0484,0.5648,0.3706
T000502,Mobility-Constrained Traveler,0.7889,0.6936,0.8949,0.9,0.2042,0.4993,0.4196
T000503,Mobility-Constrained Traveler,0.421,0.1917,0.8969,0.8291,0.2177,0.4811,0.6967
T000504,Mobility-Constrained Traveler,0.6428,0.4518,0.988,0.7352,0.2044,0.5637,0.3796
T000505,Mobility-Constrained Traveler,0.6265,0.2231,0.9426,0.9037,0.1603,0.6077,0.5303
T000506,Mobility-Constrained Traveler,0.75,0.2933,0.8271,0.7447,0.1885,0.3803,0.2695
T000507,Mobility-Constrained Traveler,0.6405,0.4587,0.868,0.6044,0.1802,0.5699,0.473
T000508,Mobility-Constrained Traveler,0.6442,0.4942,0.7647,0.8109,0.0764,0.2539,0.1881
T000509,Mobility-Constrained Traveler,0.5479,0.3864,0.9226,0.844,0.1277,0.6322,0.3599
T000510,Mobility-Constrained Traveler,0.5038,0.3686,0.774,0.9267,0.1052,0.152,0.504
T000511,Mobility-Constrained Traveler,0.6788,0.2125,0.9221,0.7238,0.2085,0.4495,0.5193
T000512,Mobility-Constrained Traveler,0.7727,0.533,0.9758,0.7413,0.3524,0.7865,0.2832
T000513,Mobility-Constrained Traveler,0.7483,0.2801,0.9966,0.9168,0.2739,0.3696,0.414
T000514,Mobility-Constrained Traveler,0.5741,0.4013,0.969,0.6583,0.3958,0.6185,0.4825
T000515,Mobility-Constrained Traveler,0.7994,0.3742,0.9761,0.8014,0.2864,0.6313,0.5112
T000516,Mobility-Constrained Traveler,0.6965,0.3824,0.9263,0.8318,0.431,0.1747,0.443
T000517,Mobility-Constrained Traveler,0.537,0.618,0.9771,0.9015,0.1559,0.5297,0.526
T000518,Mobility-Constrained Traveler,0.6881,0.4,0.8997,0.8037,0.1991,0.3968,0.5609
T000519,Mobility-Constrained Traveler,0.834,0.4972,0.8007,0.7425,0.1187,0.5622,0.373
T000520,Mobility-Constrained Traveler,0.7525,0.6211,0.9378,0.8818,0.2042,0.6461,0.351
T000521,Mobility-Constrained Traveler,0.2962,0.7956,0.9562,0.9464,0.1308,0.5843,0.3386
T000522,Mobility-Constrained Traveler,0.3134,0.2204,0.8871,0.7714,0.1894,0.3634,0.3363
T000523,Mobility-Constrained Traveler,0.6185,0.3796,0.8738,0.9644,0.3005,0.5487,0.3943
T000524,Mobility-Constrained Traveler,0.5599,0.2635,0.9631,0.728,0.1923,0.436,0.3329
T000525,Mobility-Constrained Traveler,0.7901,0.247,0.8059,0.503,0.1429,0.5158,0.5295
T000526,Mobility-Constrained Traveler,0.6183,0.2239,0.7324,0.9416,0.3017,0.5696,0.5797
T000527,Mobility-Constrained Traveler,0.5068,0.366,0.9313,0.7931,0.2531,0.661,0.4431
T000528,Mobility-Constrained Traveler,0.5937,0.3958,0.8985,0.757,0.2638,0.6569,0.4808
T000529,Mobility-Constrained Traveler,0.7054,0.4196,0.98,0.9147,0.1782,0.3956,0.1786
T000530,Mobility-Constrained Traveler,0.5704,0.4548,0.9317,0.5778,0.3623,0.4316,0.4535
T000531,Mobility-Constrained Traveler,0.6888,0.5088,0.9161,0.7355,0.0487,0.5164,0.2902
T000532,Mobility-Constrained Traveler,0.5556,0.2035,0.8122,0.8411,0.3729,0.4209,0.3614
T000533,Mobility-Constrained Traveler,0.669,0.5375,0.7838,0.8527,0.419,0.5762,0.4899
T000534,Mobility-Constrained Traveler,0.6466,0.2464,0.9787,0.7509,0.1094,0.6395,0.489
T000535,Mobility-Constrained Traveler,0.6882,0.3927,0.9681,0.8592,0.1039,0.592,0.4192
T000536,Mobility-Constrained Traveler,0.3797,0.3292,0.9777,0.9526,0.2058,0.6251,0.4969
T000537,Mobility-Constrained Traveler,0.7093,0.1305,0.9766,0.7857,0.3571,0.3351,0.2696
T000538,Mobility-Constrained Traveler,0.4951,0.5454,0.9599,0.9398,0.418,0.4211,0.5586
T000539,Mobility-Constrained Traveler,0.5029,0.5413,0.895,0.8786,0.2117,0.5416,0.5392
T000540,Mobility-Constrained Traveler,0.558,0.3243,0.9496,0.7478,0.0799,0.619,0.3548
